ID,Name,Age,Marks,Attendance,City
4,Student4,21.0,55.0,65.0,Pokhara
5,Student5,21.0,55.0,75.0,Kathmandu
6,Student6,19.0,81.0,65.0,Pokhara
7,Student7,19.0,67.0,85.0,Lalitpur
9,Student9,18.0,67.0,65.0,Pokhara
10,Student10,20.0,72.0,95.0,Kathmandu
12,Student12,19.0,76.56043956043956,85.0,Kathmandu
14,Student14,21.0,72.0,65.0,Pokhara
15,Student15,19.0,90.0,65.0,Pokhara
16,Student16,21.0,81.0,85.0,Pokhara
17,Student17,21.0,76.56043956043956,85.0,Pokhara
18,Student18,19.0,72.0,85.0,Kathmandu
20,Student20,22.0,90.0,95.0,Kathmandu
22,Student22,19.0,90.0,95.0,Kathmandu
26,Student26,19.0,90.0,95.0,Kathmandu
27,Student27,19.0,72.0,95.0,Lalitpur
28,Student28,19.0,55.0,85.0,Lalitpur
30,Student30,19.0,72.0,85.0,Pokhara
32,Student32,20.0,90.0,65.0,Pokhara
33,Student33,18.0,67.0,85.0,Kathmandu
34,Student34,21.0,81.0,95.0,Pokhara
35,Student35,19.0,67.0,95.0,Pokhara
36,Student36,19.0,72.0,75.0,Pokhara
37,Student37,19.0,72.0,85.0,Pokhara
39,Student39,20.0,55.0,75.0,Kathmandu
42,Student42,22.0,72.0,65.0,Kathmandu
43,Student43,21.0,90.0,85.0,Pokhara
45,Student45,18.0,81.0,85.0,Pokhara
46,Student46,21.0,81.0,95.0,Pokhara
47,Student47,19.0,81.0,85.0,Pokhara
48,Student48,18.0,67.0,65.0,Kathmandu
49,Student49,19.0,67.0,65.0,Kathmandu
50,Student50,18.0,55.0,65.0,Pokhara
51,Student51,20.0,90.0,65.0,Kathmandu
52,Student52,18.0,55.0,75.0,Pokhara
53,Student53,21.0,67.0,85.0,Kathmandu
55,Student55,19.0,55.0,95.0,Pokhara
56,Student56,19.0,81.0,85.0,Kathmandu
57,Student57,20.0,55.0,85.0,Kathmandu
58,Student58,22.0,81.0,85.0,Kathmandu
59,Student59,19.0,55.0,75.0,Pokhara
65,Student65,21.0,90.0,75.0,Kathmandu
67,Student67,19.0,81.0,85.0,Lalitpur
68,Student68,18.0,55.0,85.0,Pokhara
69,Student69,22.0,67.0,85.0,Pokhara
72,Student72,21.0,81.0,75.0,Kathmandu
74,Student74,18.0,81.0,85.0,Kathmandu
75,Student75,19.0,76.56043956043956,85.0,Kathmandu
76,Student76,21.0,76.56043956043956,85.0,Kathmandu
77,Student77,19.0,67.0,95.0,Lalitpur
79,Student79,19.0,81.0,85.0,Kathmandu
80,Student80,20.0,67.0,75.0,Kathmandu
81,Student81,20.0,90.0,95.0,Lalitpur
84,Student84,20.0,55.0,65.0,Lalitpur
85,Student85,19.0,90.0,85.0,Kathmandu
86,Student86,21.0,76.56043956043956,75.0,Kathmandu
87,Student87,18.0,72.0,75.0,Kathmandu
89,Student89,22.0,90.0,95.0,Kathmandu
93,Student93,18.0,76.56043956043956,95.0,Kathmandu
94,Student94,18.0,76.56043956043956,75.0,Kathmandu
96,Student96,19.0,90.0,65.0,Kathmandu
98,Student98,19.0,90.0,65.0,Kathmandu
99,Student99,21.0,72.0,65.0,Kathmandu
